text,label,train or test,rater 1 label,rater 2 label,test rater label
Integrity and honesty are two of my core values.,4.5,train,4,5,
Interesting! Is there anything in particular that made you stop reading them before finishing?,5,test,5,5,4.5
"Interrogation is an odd subtype of dialogue as its back-and-forth tends toward rigid, not free.",5.5,test,6,6,5
Invensis offers complete railway logistics BPO services that cover both core and supporting processes.,5,train,6,4.5,
Is it a good program? I hope so. I heard good things about it.,3,test,3.5,2,2
Is it near?,1.5,train,2,1,
Is it really safe? Running is pretty simple. You don't have to run fast.,2.5,test,3.5,2,2
It could be particularly advantageous to make such glasses via safe processes.,5.125,train,4.5,4,
It doesn't have to be that way.,3,train,2,2.5,
"It feels like dangerous territory, but is certainly worthy of consideration.",4.5,test,5,4,5
It is a good idea.,1.5,train,2,1,
"It is a pleasure to meet you as well, Smudge. I concur, the World Cup is a most exhilarating time for soccer fans. The heightened competition and global attention make for a truly unforgettable experience.",6,test,6,6,5
"It is also one of the most dynamic areas of the world economically, a factor which largely accounts for its growing international significance.",6,train,6,6,
It is brown.,1,test,1,1,1
It is clear from the recent statement that the company will not take any preemptive action to mitigate against those possible risks.,6,test,6,5,6
It is good.,1,train,1,1,
It is indeed incredible!,3.25,test,2,4.5,3
"It is raining! I have umbrellas. Here, you can use this.",2,test,2.5,1,2
it is rock and roll,1.5,test,1,2,2
It looks like spam to me.,3.5,train,3,4,
It makes me really happy when I hear someone give me a compliment.,3.375,train,2,3,
"It operates the same as the quiver, stick bag and rock bag in that it permanently increases storage.",6,test,6,6,5
"It seemed like he was on something, but I couldn't tell if it was uppers or downers.",5,test,6,5,5
It seemed like our interpretations of the facts were very different.,4.75,train,4.5,5,
It seems that most people have a certain amount of resistance to change.,4.5,test,4,5,5
It takes a lot of consistent effort to keep everything clean.,4.75,test,5,4.5,4
It was a very brief conversation.,4,train,2,3,
It was amazing! The special effects were so cool!,3.5,train,4,3,
It was an abysmal performance.,5,test,6,5,6
It was nice to meet you. Have a good flight!,2,train,2,2,
"It was no simple fast, but a thirty-day hunger strike.",5,test,6,4,4
It was probably an innocent mistake.,4,test,4.5,3.5,3
"It went well, I think.",2.25,test,2,2.5,2
It will take a minute or two.,2.25,train,2.5,2,
It will take quite a bit of rebel spirit to go against those rules.,5.5,train,5,6,
It's a bit more abstract than I'm used to.,3.75,train,4.5,3,
It's a building with several tenants.,4.25,test,4,4.5,4
it's a great idea,2,train,2,2,
"It's a lot of fun to do videos on a phone. It can be a challenge, but there are apps for editing video that really help make an already great video amazing. If you ever need some app recommendations, let me know.",5,train,5,5,
"It's about a faded actress, Norma Desmond who once was a star. She is delusional, but lives in the past when Hollywood was Hollywood.",5.375,test,4.5,6,5
It's absolutely gorgeous!,3,train,3,3,
It's been a rough spell but I'm game to try anything that might help us weather this storm.,6,test,5,6,6
It’s even all the way around.,4.5,train,4.5,4.5,
It's going well. I'm having a great time.,3.5,train,3.5,3.5,
"It's good to visit your family and friends and travel. Did you know that travel can make us healthier? That's because when we travel, we meet new people and we learn new things. It's like a vacation for our brain",3.25,test,3,3.5,2
it's great,1,test,1,1,1
It's important that we respect and celebrate diversity.,3.5,test,4,3,4
"It's important to know that if you cancel or change your reservation less than 24 hours before you reserved, you will be charged a $15 admin fee.",4.75,train,4.5,5,
It's important to remember that they are human beings and deserve to be treated with dignity.,4.5,test,5,4,4.5
It's just important to stay consistent and not neglect it on a daily basis.,5,test,5,5,4.5
It's my pen.,1,test,1,2,1
It's really important to maintain consistency in quality.,4,test,2,3,4.5
It's truly an incredible meal!,3.75,test,3.5,4,2
Its reinforced sides guarantee a reliable grip on a dry and wet roads and reduce the risk of breakage and puncture.,5.5,test,5,6,5
job,1,test,1,1,1
just,2,test,2.5,3,1
Just a couple of weeks.,2.5,test,1,1,1
just thank you,1.5,train,2,1,
just waiting is fine! thank you,2.75,train,3,2.5,
knowledge,2.5,test,2.5,2.5,2
leader,2.25,test,2.5,2,2
"Let me check! ... Nah, it's not in my pocket! Any other ideas?",3,test,2.5,3.5,4
let me see the pocket,3,train,3,3,
Let's check the flight details to confirm.,3.5,test,3.5,3.5,3
"Let's cut to the chase. We need to hone in on the main issues immediately. We'll run out of time, otherwise.",5,test,6,6,6
let's go,2,train,2.5,1,
let's go to the Moon,2.5,test,2,3,1
Let's read the reviews first.,3,train,3,3,
Let's stay home instead.,3,test,4,4,2
letter,1.5,train,2,1,
"Life is about making trade-offs and compromises. Consciously or unconsciously, we compare options and make an uncountable number of decisions every single day, hoping we've made the right decisions.",6,test,6,6,6
Listening to opinions and delegating tasks are some of the often-cited attributes of great leaders.,6,test,6,6,5
long,1,train,1,1,
loudly,2.5,test,2.5,2.5,2
Loyalty and honesty matter to me more than integrity.,4.75,train,4.5,5,
man,1,train,1,1,
Many trees.,1.5,test,2,1,1
"MAS says, due to most platform operators where cryptocurrency trading is not in Singapore, it is difficult to verify their validity or credibility.",6,train,6,5,
maybe a coat,1.5,train,1,2,
Maybe someone else can help.,3.75,train,3.5,4,
"Meaning and definitions of parsimony, translation in Hindi language for parsimony with similar and opposite words.",6,test,6,6,4.5
medicine,2,test,1,2,1
milk,1,train,1,1,
mine is Michael Buble,2,train,2,2,
money,1,train,1,1,
My boss is a good leader.,2,train,2,2,
My car is red and new.,1,train,1,1,
My cat is really lazy.,2.25,test,2.5,2,2
My family and my childhood friends are forever in my heart.,4.25,train,3.5,5,
My father was very nervous all night long.,2.5,train,3,2,
"My favorite character in ""The Godfather"" is Michael Corleone. He is a complex and well-developed character who undergoes a significant transformation over the course of the film. I admire his strength, his loyalty, and his willingness to do whatever it takes to protect his family.",5,test,6,6,5
My fever is finally gone!,3.75,test,3.5,4,4
My fingers hurt!,2.25,test,2.5,2,2
"My mom taught me years ago, so I might be a bit rusty, but I think I'm up to the task.",4.5,train,5,4,
My name is Susan.,1,train,1,2,
My uncle is a lawyer. He can help us.,2,test,2,2,2
naive,4,test,3,5,5
Nancy Ademola's second appearance on Bernie Knight's Tuesday Night Contender Series went much better than his first as a head kick helped punch his ticket to a UFC contract.,6,train,6,6,
Nausea is a common symptom.,3.5,test,3.5,3.5,3
Nausea is one of the most common symptoms.,3.5,test,4,2.5,3.5
nepotism,6,train,6,6,
"Nepotism is not a good thing, but it's a reality.",4.75,train,5,4.5,
never,1.5,train,1,2,
"Nice. I love the song ""It Ain't Me"" with her and Kygo. Do you know it?",3,train,2.5,2,
no actually I don't,3.25,test,3,3.5,2
No exactly,2,test,2,2,2
no I didn't know. It is very interesting,2,test,2,2,2
no I don't,1.5,test,2,1,1
no I have not read that book,3,test,3,3,2
no I never tried,2.25,train,2.5,2,
no I think,1,train,1,1,
no I want a gallery,2.5,test,2,3,2
"No solution is bullet proof. We must stay vigilant and adopt our approach swiftly, according to the changing circumstances, to increase the likelihood of success.",6,test,6,6,5
"No, i am happy",1,test,1,1,1
"No, I don't feel that cold, but I am getting goosebumps on my arms.",5,train,6,4,
"No, I haven't really been conscious of the problem. I need more information.",4.5,train,5,6,
"No, packages that haven't been delivered yet are excluded from our inventory count.",5.5,train,6,5,
"Nope, not there. Any other ideas?",3,test,3,2,2.5
not at all,3,train,3,1,
"Not yet, but I'm planning to dedicate significant time to it today.",5,train,4,3,
"Not yet. I'm hoping for a nephew, but I'll be happy either way.",4.5,train,4.5,4.5,
"Note that some have pointed out that unanswered questions in fictional works engender both frustration and imagination in the reader, thus generating momentum and engagement in the action sequence.",6,train,6,6,
now this is my first time,2.25,train,2,2.5,
obsession,4.5,train,4.5,4.5,
Of course! It’s 10 dollars a ticket.,2.5,train,3,2,
"Of course! Please, let me know if you are unsatisfied with our service or need anything else. We always want to make our guests happy.",4.25,test,4.5,4,4
Of course! That will be $30!,2.75,train,2.5,3,
Oh no! Are you sick? How can I help you feel better?,3,test,1,2,2.5
Oh no! Well thanks for trying!,2.5,test,3,2,3
oh okay,1,train,1,1,
oh well that's all right so tell me if you find it,3.5,train,3.5,3.5,
oh yeah please,1,test,1,1,1
"Oh, good! I think it is funny too. It is a very creative movie.",2.5,test,2,2,2
"Oh, have you seen the movie Silence of the Lambs? It's a suspenseful drama about a detective trying to catch a serial killer. I love it!",5,train,5,5,
"Oh, I forgot it was yesterday! Sorry about that. If Argentina is in the World Cup, are you excited to see them play?",3,train,3,2,
"Oh, I like it with sugar and milk.",2.25,test,2,2.5,1
"Oh, that is nice. What did you think of it?",2,train,2,2,
"Oh! I love Julio! He has such a way with words. His characters are so lifelike, like you could reach right out and touch them.",4.5,test,3,4,4.5
ok very well,2,train,2,2,
"Ok, just to confirm - I'll see you at Le French Diner at 7pm next Wednesday for steak and lobster, right?",3.75,train,4,3.5,
"Ok, then try to rest as much as possible, drink plenty of fluid and avoid fatty and spicy foods. I also recommend taking plenty of vitamin C and zinc to help boost your immune system.",4.75,test,5,4.5,4.5
"OK, we can do that. First I need you to tell me about any other symptoms that you're experiencing. Do you have a sore throat? Do you have a cough? Are you sniffling? Do you have runny nose?",4.5,train,2,3,
"OK! What day and time would you like to come in, and what are your names?",3.75,test,3.5,4,2.5
okay,1,train,1,1,
okay here we go,2.5,train,2.5,2.5,
okay here you are,1.5,train,1,2,
okay I understand,1,test,1,1,1
okay my credit card is 1 2 7 5 4 3 9 2 1 0,1.5,train,1,2,
"Okay, I'm going to ask you something that's kind of a difficult question. Would you rather watch a whole season of a good show or a not-so-good show?",4.75,train,4.5,5,
"Okay, let me check your throat. Open your mouth. Aaah! Say ""aah"". Great. Do you have a fever?",3.5,test,4,3,4
Okay. I can't wait!,3,test,3,3.5,1
On your purse,2,train,2,2,
"Once you round the bend, you'll see the house, clear on over the hills and nestled into the forest.",6,train,6,6,
One of the symptoms of an ear infection is dizziness.,4,train,4.5,3.5,
One of the VPs will take over until a new CEO is appointed.,5,test,5,5,4.5
Only a little.,2.75,train,3,2.5,
Ooh. I don't think I've heard of that artist. What about trap rappers?,3,test,3,3,3.5
"Orange juice, please.",1,train,1,1,
Other state powers wondered how to rein in the autocrat and avert what seemed an impending disaster.,6,train,6,6,
Part of the beauty of cherry blossoms is due to its ephemeral nature.,6,test,6,6,5
patience,4,test,4,4,4
Patience is definitely important.,3.75,test,3.5,4,4
"People can't stand his absent-mindedness. On the contrary, I found it quite interesting!",6,train,6,6,
People often misunderstand the relationship of correlation as cause and effect.,6,train,6,6,
Please wash this.,1.5,test,2,1,2
Presentations have never been my strong suit. I genuinely admire people who aren't afraid to get up and talk in front of a huge crowd.,6,test,6,6,4.5
Prioritizing organization is the only way I can keep track of it all.,5,test,5,5,4.5
procrastination,4.75,train,4.5,5,
Public speaking frightens me.,3,test,4.5,5,3
recite,3.5,test,3,4,4
recommend,2,test,3,2,2
Refreshed and re-energized.,4,train,4,4,
"Registering code conditions at both the transmitting and receiving locations, at the finish of the transmission of a message, enables the message to be checked against a like record at the other location.",6,test,6,6,4.5
Regular card use is the key to the success of this program: Every transaction counts!,5,train,5,5,
related,2.5,test,2,3,3
relevant,4,test,5,4,4
sad,1,train,1,1,
school,1,test,1,1,1
"Several naturalists noted that the typical form was more common in the countryside, while the carbonaria moth prevailed in the sooty regions.",5.5,test,6,5,5
She came across a pride of lions.,6,train,6,4,
"She hated the idea of neutering the cat, but proceeded nonetheless.",5,test,6,5,5
She is a teacher.,1,train,1,1,
"She prattled on, but my focus was elsewhere.",6,test,6,6,6
She took the initiative and asked to lead the project.,4.75,train,4.5,5,
"She was accused of vindictiveness, while her male counterparts were praised for their ambition.",6,test,6,6,6
She's a dystopian writer who wrote the Hunger Games trilogy and the Underland Chronicles.,4.25,train,5,3.5,
"She's been quite withdrawn, as of late.",6,train,6,6,
She's not listening.,1.5,test,2,1,1
She's trying to work.,1.5,train,2,1,
significant,3.5,test,4,3,4
Singing can be relaxing.,2.75,test,3,2.5,2.5
sleep,1,train,1,1,
so do I,2.5,train,2,3,
So do you also read fantasy novels written by other authors or just Harry Potter?,4,test,4,4,4
so it is perfect I want it,2.25,train,2,2.5,
Some adverse drug reactions could be avoided by properly evaluating the conditions of patients and correctly applying local anaesthetics 11.,6,test,6,6,5
Some of the symptoms of food poisoning are nausea and cramping.,3.5,train,4,3,
Some plants need specific soil to grow well indoors.,3.75,train,4,3.5,
"Some residents form their opinions by listening to leaders, and then base their actions on what they hear.",4.5,train,5,4,
Sorry,1,train,1,1,
sorry I do not,2,train,2,2,
Sorry.,1,test,1,1,1
sounds good to me,2.5,train,2,3,
Sounds great! Do you prefer in the dining room or the patio?,3.25,test,3,3.5,3
"Specifically, the followers are engaged in a coordination game: they each want to do the right thing, and do it together, but they lack full information about their environment.",5,test,5,5,4.5
"Specifics are not critical, so long as we can get across the core idea crystal clear.",6,train,6,6,
Startup funds could only float the company for so long.,5,test,6,5,5
Stereotypes are problematic because they are usually rooted in prejudice.,5.5,test,5,6,5
Stereotypes lead to prejudice.,5,train,5,5,
"Structural elements of this type can be utilized in the manufacture and installation of a wind turbine tower, which, when properly aligned and bolted, reinforce the mechanical bond of the assembled pieces as joined together in the field during installation.",5.75,test,6,5,5
"Sure, the medicine that is most commonly given for the flu is an antiviral medication called Tamiflu. I can write you a prescription for Tamiflu.",5,test,5,5,4.5
"Sure, we can meet at the restaurant. What time would you like to go?",3.25,train,3,3.5,
"Sure, what's it about?",2.75,train,3.5,2,
Sure! 200 Years of Solitude by Gabriel Garcia Marquez and Frankenstein by Mary Shelley are some classics.,3.5,train,5,1,
take care,1.5,train,1,2,
Talking quietly in a loud party never works well.,4,test,3,2.5,2.5
Thank you! You sleep well too.,2.5,test,2,3,1
Thank you.,1,test,1,1,1
Thanks. What time do you usually eat dinner?,2.75,test,3.5,2,2
that is great so what else do you do? what else do you like to do?,3.5,test,4,3,2
That makes his performance even more impressive! What are your predictions for the fight between him and Dustin Poirier?,4.75,train,5,4.5,
that sounds cute do you like to go for a swim too,3,train,3,4,
"That sounds delicious! I would love to have the turkey sandwich. And there'll be plenty of room for dessert: churros, paella, and flan!",4.5,test,4.5,2.5,3
That was a perfect example of how to make a restaurant reservation! Would you like to practice some more?,3.5,train,2,3,
"That was my favorite at one point, but I really love the song Stairway to Heaven by Led Zeppelin.",3.5,train,3.5,3.5,
That watermelon was enormous!,3,train,3,3,
That's a classic! What is it that you like about it? The story? The graphics? The characters?,4,test,4.5,5,3
"That's a very impressive career field. Do you create games, websites, or apps?",3.5,train,4,3,
"That's awesome! What kind of crime books would you recommend if you have any? As for TV, do you follow any news channels as well?",4.25,test,4.5,4,4
That's cool! Do you have a favorite player? How did you get into the game?,4,test,4,4,2.5
That's it! Thank you! I'm so relieved to have my passport back!,4,test,4.5,5,4
That's okay. How would you feel about being on a trivia team with some friends?,4,test,4,4,3
that's perfect,2,test,2.5,1,1
That's what trust is all about.,3.75,train,3.5,4,
The ability to analyze trends and monitor demographic changes that take place alongside migratory flows requires a systematic processing of information related to the movement of people.,6,test,6,5,6
"The aforementioned study found that parents from more educated and privileged backgrounds talked more, used a more diverse lexicon, and produced longer utterances with their children.",6,train,6,5,
"The African mango extract reduces appetite, stimulates fat breakdown, reduces the absorption of carbohydrates.",5.5,train,5,6,
The article is relevant because we are studying the 1965 Immigration Act and that's what it's about.,3.5,train,3,4,
The article was quite relevant to the discussion we had in class yesterday.,4.5,train,4.5,4.5,
"The author is really good, he has written other books too, did you ever read any of his others?",4,test,4,4,3
"The Beast and Beauty, a classic tale of love and redemption, is set in a remote castle on the mainland. The Beast is a cruel and fearsome creature, but Beauty sees his inner goodness and teaches him the meaning of love. Through her compassion, the Beast is transformed into a handsome prince, and the two live happily ever after.",5.625,test,6,4.5,5
The bottom line is everyone needs to chip in where they can help.,5,train,6,5,
"The buyers entered into a bidding war, preventing any real movement.",5,train,5,5,
The car is black.,1,train,1,1,
"The cavum vergae is bordered anteriorly by the posterior border of the cavum septi pellucidi, inferiorly by the body of the fornix, and superiorly and posteriorly by the corpus callosum.",6,test,6,6,6
The CFO is the most likely successor.,4,test,5,3,5
"The characters are Red, Andy Dufresne, Brooks Hatlen, and Warden Norton.",2.75,train,3,2.5,
The city claimed the building was razed for aesthetics.,6,train,6,6,
The closure of the main street will cause a great deal of inconvenience to the entire community that have been affected.,5,train,5,5,
The concept was necessary for the proletariat in unifying rule over the peasantry to wage a revolution.,6,train,6,6,
The Consumer Report Reader provides an unheard of Reader Score of 95 and is “excellent” in both simple claims and timely payments.,5.25,train,6,4.5,
The cookbook is between the refrigerator and the other cookbooks.,3.75,train,3,4.5,
The country's catastrophic failure was caused by just one leader who became complacent about the situation.,6,test,6,6,6
The end reveal was a huge surprise!,4.5,test,4,5,4
The EU Parliament's Economic Affairs committee votes to tighten rules on London-based investment banks after Brexit.,4.75,train,4.5,5,
"The Exchange does not warrant and holds no responsibility for the veracity of the facts and representations contained in all corporate disclosures, including financial reports.",6,test,6,6,6
The fact that his leave was never officially approved colored his supervisor's judgement during the performance review.,6,train,5,6,
The field shifted its focus away from metalinguistic awareness and its isolated subcategories toward the cognitive processes of executive control.,6,train,6,6,
The free PowerPoint template has a high quality photo design in the background of the slide with impressive skyscraper photo and blue colors.,4.25,test,5,3.5,3
The full agenda is unknown but Trump's administration will be seeking to gain a better understanding of 5G's benefits and its economic potential.,6,train,6,5,
The gas prices have increased dramatically.,4.25,train,4,4.5,
The idea of fate or destiny is so fascinating!,4,train,5,3,
The ignominy of having to resign is what stung the most.,6,test,6,6,6
"The indictment charged the tycoon with hoarding sensitive documents, refusal to cooperate with law enforcement, and contempt of court.",6,train,6,6,
The instructions were extremely comprehensive so they weren't easy to follow.,4.25,train,4.5,4,
The integrated HD triple tuner means that a separate receiver is no longer required.,5.5,train,5,6,
"The journey is not linear and is influenced by multiple factors, including the initial drivers of migration.",6,test,6,5,5
The kids totally lost it this morning and I'm at the end of my rope.,5,test,5,5,6
The lunch is at two. I'll see you at the restaurant.,2.5,test,2.5,2.5,2
The man took one of them.,2.125,test,2,2,2
"The market has missed the potential of one of Vertex Capital's new favourite companies, according to Jonathan Simone.",5.5,test,6,5,4
The minimum required in most cases is $20.,3.25,test,4,2.5,4
"The Moors occupied Spain for seven centuries. If you want to learn more about them, just go visit the Alhambra Palace in Granada, Spain!",4.25,train,4,4.5,
The most important thing is the applicant's qualification.,4,train,4,4,
"The multipurpose robot often permits blending, grating, cutting, mincing and thanks to specific accessories, it can also serve as a blender, stick blender and even as a mincer.",5,train,4,6,
"The muscat of Frontignan with famous gold reflections, a pure product in the tradition of the region, has been cultivated in Frontignan since Antiquity.",6,test,6,6,6
The net profit of one of the subsidiaries of the parent company exceeded the market expectation in this quarter by a big margin.,6,test,6,6,5
The new designer is really good at capturing the aesthetic of the brand.,4.5,test,4,5,5
The new legislation aimed at curbing the use of plastics in the food sector is a good example of the EU's commitment to the environment.,5,test,4,4.5,5
The new study aims to advance an ongoing discussion of objectively examining the differences of judgments between experts and amateurs.,6,test,6,6,5
"The Notebook is a poignant tale of undying love that transcends time. The film's emotional impact is undeniable, and it is sure to leave a lasting impression on any viewer.",6,train,6,6,
"The obligations and duties incurred by any municipality shall be binding and of full force and effect, notwithstanding that the term of office of the elected governing body which initially entered into or approved said contract or agreement has expired.",6,test,6,6,6
The painting was acquired as part of the museum's new set of acquisitions.,5.5,test,6,5,4
"The paper is basically complete, but the conclusion needs some work.",3.5,test,4,3,4
The performance of large analogue audio systems can be improved by using distributed digital systems because networking leverages the wholesale digitalisation of media equipment for handling signals.,6,train,6,6,
The price of gas has increased a lot recently.,2.5,test,2,3,2.5
The price of gas has increased by 15% recently.,4,test,4,4,2.5
The price of gas increase by 10% in just the last month,3.5,train,3,4,
The priority is to finish the report by the end of the day.,3.5,test,3,4,3
The proposal was at once lauded and decried by opposing camps.,6,test,6,6,6
The prose is plagued by an ennui so thick one tires after just a few pages.,6,train,6,6,
The protests took place amid renewed and heightened calls for rent freezes in the face of rampant gentrification.,6,train,6,5,
The rate at which kids absorb new information is simply astonishing.,6,test,6,6,4
"The realities of the lives of transnational youth and their families are not static, but rather fluid and flexible as they move across literal and metaphorical borders.",6,train,6,6,
The regulators approved new rules with the aim of overhauling the way hedge funds deal with their investors.,6,train,6,5,
the same,1.5,train,1,2,
the second one,2.5,train,3,2,
"The Shining's plot is excellent - a little scary at times, but very well done, with lots to think about.",4.5,train,4.5,4.5,
The site has been built for all taking into account the unique preferences and practices within the religion.,5.25,test,6,4.5,4
The spirit of the Olympics is what makes it so special.,3.5,train,3.5,3.5,
"The study participant, a bilingual with phonological dyslexia, produced morphological paralexias during her reading of inflected words.",6,train,6,6,
"The style features a bandeau top that enhances tanning potential, and the matching bottoms have the relatively high leg and mid coverage ensure you can be confident that you're not baring all.",6,test,6,6,4.5
"The Sumida River is one of Japan's biggest, and you can take a tour on a boat and see the sights along the river's edges like sumida aquarium, temples, and more. The Sumida Observatory lets you take in a birdseye view of the river and Tokyo. Are you ready to book your tickets?",5,test,4,6,2.5
"The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",6,train,6,5,
The weather report says to expect two inches of precipitation this weekend.,4.25,test,5,3.5,4
Their failure to get approvals in time is beyond my comprehension.,6,train,6,6,
There are many interesting characters in the movies named above. Who is your favorite character from any of these movies?,4.25,train,4,4.5,
There are many seasons of 'The Simpsons'. How about 'The Simpsons Movie'? Do you like that?,3.5,test,3.5,3.5,2
"There are some benefits to aging, such as maturity and wisdom.",4,test,4,4,4.5
There is a big discrepancy between the image online and the actual product.,4.75,test,5,4.5,4.5
"There is a small pocket in my shirt, you might try there. Or, you can check under my big belt!",3.5,test,4.5,3,2
There is nothing else quite like an opera with live orchestra. Have you ever been to a live opera or symphonic performance?,4.75,train,4.5,5,
there you go,2.25,train,2.5,2,
There's a discrepancy between the picture of what I ordered and what I received.,5,train,5,5,
"These groupings allow dialogue among the papers' authors, which can ignite in-depth investigation of the selected subjects.",5.75,test,5,6,5
"These helically wound elastic conduits in galvanized steel have been valued for attributes like corrosion resistance, durability, and high usable life.",6,test,6,6,6
they are,1,test,1,1,1
They are students.,1,test,1,1,1
They create prejudice.,4,test,4.5,3.5,5
They eat there.,1.25,test,1,1,1
They have chosen an internal candidate to be the CEO's successor.,5,train,3,4,
They lived in the occupied territories under a carceral regime.,6,test,6,6,6
They lived under the constant threat of guerilla warfare.,5,train,5,5,
They make these screen protectors that prevent the glass from cracking.,4.5,train,4,5,
They’ll appoint a successor.,3.75,train,3.5,4,
They're afraid of having nightmares.,3,train,2,2,
They're all prepositions.,4,train,4,4,
This allowed us to see how well each internet browser works alongside these programs to provide optimum online security to you and your family.,5,train,3.5,4.5,
"This business also includes the GreenScope Properties Group, which develops industrial properties, predominantly warehouses and distribution centres.",5,test,5,5,5
"This conventional type of partition suffers from several well-known drawbacks, foremost being the high-impedance nature of the remote power supply.",6,train,6,6,
This could provide methods that might ensure enhanced specificity for target recognition without toxicity.,6,train,6,6,
This food is good.,1.5,test,1,1,1
This girl is in third grade.,1.75,test,2,1,2.5
This has been a particular problem with glasses which employ refractory metals such as platinum alloys in their molten glass.,5.375,test,5,4.5,6
"This is a type of tasting suitable for a larger group of people, ideally as a addition to receptions or a banquet with a larger number of guests.",5.5,train,6,5,
"This is an argument which could certainly stand some expansion, though he does try to do so at least very briefly at the end by referring to several other 'contemporary Western moral philosophers'.",6,test,4,5,5
"This is because platinum, like molybdenum, can cause an electrochemical reaction which results in bubble formation at the interface where the glass contacts the metal.",5.75,test,6,5,5
This is his book.,1,train,1,1,
This is my sister.,1,train,1,1,
This is the best hotel.,2,train,2,2,
this is the correct one,3,train,3.5,1,
this plot is very nice,2,test,2,2,2.5
"This utilizes the WM APPCOMMAND to change the microphone volume, see attached VI.",4.5,test,5,4,4.5
This weekend is fine.,1.5,train,2,1,
"Those are the child's toys, over there.",2.5,train,2.5,2.5,
Those women are leaving.,1.75,test,1,1,1
"Three-cylinder engines sprung onto the market in droves, signaling a departure from last season.",6,test,6,6,6
"Time to reserve your cuts of meat from these animals which grazed in nature and only ate grass, shrubs, blueberry branches and herbs in the pasture.",5.5,train,5,6,
Tired. Long day.,1.5,train,2,1,
to ascertain,6,test,6,6,5
to be in a quandary,5.5,train,5,6,
to be responsible for,3.75,train,4,3.5,
"To date, many related materials have been collected by the Foundation, but the detailed organizational structure and purpose thereof have not yet been clarified.",6,test,6,6,5
to eat,1,train,1,1,
to give someone a ride,3.75,train,3.5,4,
to invite,2,train,2,2,
to like,1,test,1,1,1
to take a stand,4.5,train,4,5,
Today's range totals 76 pieces and remains one of Axel Becker's most exclusive silverware patterns.,5,train,5,5,
Tomorrow I will call you.,2,test,2,2,2
train,1,test,1,1,1
Try to enhance the colors and contrast.,4.5,train,3,3,
"Tutorial: Your three tickets will cost you 25.25 euros. You can charge that to your credit card if you have one, or pay with cash.",4,train,4,4,
Very possible. The tour's age range is seven to seventy-five. Would you like to schedule this tour now?,3.75,test,3.5,4,3.5
Very sleepy.,1.5,test,2,1,1
Warehouse worker driving forklift at warehouse.,4.5,train,4,5,
Warm weather is the best!,3,train,3,3,
"Water, please.",1,train,1,1,
We all wake up early.,1.875,train,2,1,
We are both very loyal even though we are opposites in a lot of other ways.,4,train,4.5,3.5,
"We are committed to providing a safe, honest, and reliable gaming environment to ensure unbiased and first-class service for all our customers.",5.5,test,6,5,4
we are living in an igloo,2,train,2,2,
"We are open to new markets for procurement and supply of products and would solicit any enquiries and offers, which would receive immediate and prompt attention.",5.5,test,5,6,6
We came upon the beached whale at daybreak.,6,train,5,6,
We can reduce water usage by using rain barrels and taking shorter showers.,4.75,train,4.5,5,
We do our best to ship all items within 1 business day however we do not ship on weekends or holidays.,4.5,train,2.5,3,
"We don't have dolphins at our shelter, unfortunately. But we do have kittens and puppies waiting for homes! Would you like to meet them?",4.25,train,4,4.5,
We have an abundant amount of apples because we have a few apple trees.,4.25,train,3.5,5,
"We have lemon-lime soda, lemonade, orange juice, apple juice and fruit punch. Do you want to try any of them?",3,train,3,3,
We have to have a strong commitment to succeed.,4.5,test,5,4,3
"We have two permanent exhibits: the archeological hall and the historical hall. Now, how many tickets can I get you?",4,train,3.5,4.5,
We need commitment and motivation.,4.25,test,4.5,4,4
We need to address our bias and be more inclusive.,4.5,test,4,3,5
We need to be more aware of our own biases and work to overcome them.,5,train,5,5,
We need to set aside our biases and be more accepting of all people.,4,train,4,4,
We read books.,1,train,1,1,
We seek to trouble the monolithic notion of the immigrant figure.,6,train,6,6,
We should try to be more aware of our own biases and try to be more open-minded.,4,train,4,4,
We should try to remove our own biases and consider others' opinions.,4.5,train,3,4,
We talk on the phone every night.,2,train,2,2,
We walked up the hill.,2.375,train,3,2,
We went to a beautiful island.,2,test,2,2,2
We'll see you then!,2.5,test,3,2,2
"We've got a great assortment of milk, including whole milk, skim milk, soy milk, almond milk, rice milk, cashew milk, oat milk, and chocolate milk.",4,train,3,2.5,
Were the packages that haven't been delivered yet included in our inventory count?,5.5,test,6,5,4.5
what,1,train,1,1,
What about drawing? Have you done any drawing? Have you ever done any art that you've gotten complimented on? Or any that you're really proud of?,5,test,5,5,4.5
What are some of the qualities that your family members have in common?,4,train,2,3,
What are you doing tomorrow?,2,train,2,2,
What are you studying in school?,2.75,train,3,2.5,
what do you mean?,2.5,test,2,3,1
What do you think of The Rolling Stones? Their song Satisfaction is one of my favorites.,3.25,test,3,3.5,2.5
What does it take to be a great athlete?,4,test,4,4.5,3
"What happened recently? We had to reply to many emails this week. Yes, we received a lot.",3,test,3.5,2,2.5
What in the world happened here this past week when I was out? This place looks totally messed up now and it would take a tremendous amount of time and resources to get back to where we were.,5,train,6,5,
What is the most endangered cat in Africa?,3.75,test,4.5,3,4
What is your name?,1,test,1,1,1
What types of rock do you listen to? I like classic rock -- artists like the Rolling Stones and Queen are a couple of my favorites.,3.5,test,3.5,3.5,2.5
What's something you have drawn recently that you are proud of?,4.75,train,5,4.5,
